distanceFromStartLine,trackPosition,speedLimit
0.0443,-0.1988,210
1.0755,-0.194,210
2.1085,-0.189,210
3.1432,-0.1839,210
4.1797,-0.1788,210
5.2179,-0.1735,210
6.2579,-0.1682,210
7.2997,-0.1629,210
8.3431,-0.1575,210
9.3884,-0.1521,210
10.4354,-0.1468,210
11.4842,-0.1414,210
12.5346,-0.136,210
13.5869,-0.1305,210
14.6409,-0.1251,210
15.6967,-0.1196,210
16.7542,-0.1141,210
17.8134,-0.1086,210
18.8744,-0.1031,210
19.9371,-0.0976,210
21.0016,-0.0922,210
22.0678,-0.0867,210
23.1357,-0.0812,210
24.2054,-0.0757,210
25.2768,-0.0702,210
26.35,-0.0647,210
27.4248,-0.0591,210
28.5015,-0.0535,210
29.5798,-0.0479,210
30.6599,-0.0425,210
31.7417,-0.0376,210
32.8252,-0.0332,210
33.9104,-0.0289,210
34.9975,-0.0248,210
36.0862,-0.021,210
37.1767,-0.0174,210
38.2689,-0.014,210
39.3629,-0.0107,210
40.4586,-0.0074,210
41.5559,-0.0043,210
42.655,-0.0012,210
43.7558,0.0019,210
44.8584,0.005,210
45.9625,0.008,210
47.0684,0.011,210
48.176,0.014,210
49.2853,0.017,210
50.3963,0.0201,210
51.509,0.0231,210
52.6234,0.0262,210
53.7394,0.0294,210
54.8571,0.0325,210
55.9766,0.0356,210
57.0977,0.0388,210
58.2205,0.0419,210
59.345,0.045,210
60.4712,0.0482,210
61.599,0.0513,210
62.7285,0.0544,210
63.8596,0.0576,210
64.9925,0.0607,210
66.127,0.0638,210
67.2631,0.067,210
68.401,0.0701,210
69.5405,0.0732,210
70.6816,0.0764,210
71.8245,0.0795,210
72.9689,0.0826,210
74.1151,0.0858,210
75.2621,0.0889,210
76.4081,0.092,210
77.5531,0.0952,210
78.6972,0.0983,210
79.8402,0.1014,210
80.9821,0.1046,210
82.1231,0.1077,210
83.2637,0.1108,210
84.4054,0.114,210
85.548,0.1171,210
86.6917,0.1202,210
87.8364,0.1234,210
88.9821,0.1265,210
90.129,0.1296,210
91.2768,0.1328,210
92.4256,0.1359,210
93.5755,0.1391,210
94.7265,0.1424,210
95.8783,0.1456,210
97.0313,0.1489,210
98.1854,0.1521,210
99.3404,0.1554,210
100.496,0.1586,210
101.654,0.1618,210
102.812,0.1651,210
103.971,0.1683,210
105.131,0.1716,210
106.292,0.1748,210
107.454,0.1781,210
108.617,0.1813,210
109.781,0.1846,210
110.946,0.1878,210
112.113,0.191,210
113.28,0.1943,210
114.448,0.1975,210
115.617,0.2008,210
116.787,0.204,210
117.958,0.2073,210
119.131,0.2105,210
120.304,0.2138,210
121.478,0.217,210
122.653,0.2203,210
123.829,0.2235,210
125.007,0.2267,210
126.185,0.23,210
127.364,0.2332,210
128.544,0.2365,210
129.725,0.2397,210
130.907,0.243,210
132.09,0.2462,210
133.275,0.2495,210
134.46,0.2527,210
135.646,0.256,210
136.833,0.2592,210
138.021,0.2624,210
139.21,0.2657,210
140.4,0.269,210
141.591,0.2724,210
142.783,0.2757,210
143.976,0.2791,210
145.17,0.2824,210
146.364,0.2858,210
147.56,0.2891,210
148.757,0.2925,210
149.955,0.2959,210
151.154,0.2992,210
152.353,0.3026,210
153.554,0.3059,210
154.756,0.3093,210
155.958,0.3126,210
157.162,0.316,210
158.366,0.3194,210
159.572,0.3227,210
160.778,0.3261,210
161.985,0.3294,210
163.194,0.3328,210
164.403,0.3361,210
165.613,0.3395,210
166.824,0.3429,210
168.037,0.3462,210
169.25,0.3496,210
170.464,0.3529,210
171.679,0.3563,210
172.895,0.3596,210
174.111,0.363,210
175.329,0.3664,210
176.548,0.3697,210
177.768,0.3731,210
178.988,0.3764,210
180.21,0.3798,210
181.432,0.3831,210
182.656,0.3865,210
183.88,0.3899,210
185.103,0.3932,210
186.326,0.3966,210
187.549,0.3999,210
188.772,0.4033,210
189.994,0.4066,210
191.216,0.41,210
192.438,0.4133,210
193.659,0.4167,210
194.88,0.4201,210
196.102,0.4234,210
197.324,0.4268,210
198.547,0.4301,210
199.77,0.4335,210
200.993,0.4368,210
202.216,0.4402,210
203.438,0.4436,210
204.66,0.4469,210
205.882,0.4503,210
207.103,0.4536,210
208.324,0.457,210
209.546,0.4603,210
210.768,0.4637,210
211.991,0.4671,210
213.214,0.4704,210
214.437,0.4738,210
215.66,0.4771,210
216.883,0.4805,210
218.105,0.4838,210
219.326,0.4872,210
220.548,0.4906,210
221.769,0.4939,210
222.991,0.4973,210
224.213,0.5006,210
225.436,0.504,210
226.659,0.5073,210
227.883,0.5107,210
229.105,0.5141,210
230.328,0.5174,210
231.55,0.5208,210
232.772,0.5241,210
233.993,0.5275,210
235.215,0.5308,210
236.437,0.5342,210
237.659,0.5376,210
238.882,0.5409,210
240.106,0.5443,210
241.329,0.5476,210
242.552,0.551,210
243.775,0.5543,210
244.997,0.5577,210
246.219,0.5611,210
247.441,0.5644,210
248.662,0.5678,210
249.883,0.5711,210
251.105,0.5745,210
252.327,0.5778,210
253.55,0.5812,210
254.773,0.5846,210
255.996,0.5879,210
257.219,0.5913,210
258.441,0.5946,210
259.663,0.598,210
260.885,0.6013,210
262.106,0.6047,210
263.327,0.6081,210
264.549,0.6114,210
265.771,0.6148,210
266.994,0.6181,210
268.217,0.6215,210
269.441,0.6248,210
270.663,0.6282,210
271.886,0.6316,210
273.108,0.6349,210
274.33,0.6383,210
275.551,0.6415,210
276.772,0.6441,210
277.994,0.6458,210
279.216,0.6465,210
280.438,0.6468,210
281.662,0.6464,210
282.886,0.6453,210
284.109,0.6438,210
285.333,0.6418,210
286.556,0.6395,210
287.778,0.637,210
289,0.6343,210
290.222,0.6315,210
291.444,0.6287,210
292.665,0.6258,210
